experiment,feature,model,dev_eer,eval_eer,dev_tdcf,eval_tdcf,train_min,error,resumed_from_epoch
mfcc_cnn,mfcc,cnn,8.086,23.868,0.0081,0.0055,244.5,,
mfcc_res2net,mfcc,res2net,,,,,,"A KerasTensor cannot be used as input to a TensorFlow function. A KerasTensor is a symbolic placeholder for a shape and dtype, used when constructing Keras Functional models or Keras Functions. You can only use it as input to a Keras layer or a Keras operation (from the namespaces `keras.layers` and `keras.ops`). You are likely doing something like:

```
x = Input(...)
...
tf_fn(x)  # Invalid.
```

What you should do instead is wrap `tf_fn` in a layer:

```
class MyLayer(Layer):
    def call(self, x):
        return tf_fn(x)

x = MyLayer()(x)
```
",
mfcc_res2net,mfcc,res2net,7.931,23.213,0.0352,0.0247,69.3,,
mfcc_lcnn,mfcc,lcnn,4.088,23.603,0.0076,0.0056,279.3,,1.0
lfcc_cnn,lfcc,cnn,1.077,18.625,0.2484,0.1143,86.7,,2.0
lfcc_res2net,lfcc,res2net,0.898,20.981,0.0057,0.0088,34.7,,0.0
lfcc_lcnn,lfcc,lcnn,0.504,16.387,0.1031,0.0311,28.6,,0.0
cqcc_cnn,cqcc,cnn,9.335,26.821,0.0166,0.0238,132.6,,0.0
sincconv_cnn,sincconv,cnn,,,,,,Layer.add_weight() got multiple values for argument 'initializer',
sincconv_res2net,sincconv,res2net,,,,,,Layer.add_weight() got multiple values for argument 'initializer',
sincconv_lcnn,sincconv,lcnn,,,,,,Layer.add_weight() got multiple values for argument 'initializer',
raw_rawnet2,raw,rawnet2,,,,,,Layer.add_weight() got multiple values for argument 'initializer',
sincconv_cnn,sincconv,cnn,13.286,33.08,0.0054,0.0053,50.1,,3.0
sincconv_res2net,sincconv,res2net,17.025,34.124,0.0054,0.0053,74.8,,0.0
sincconv_lcnn,sincconv,lcnn,9.14,29.453,0.0073,0.0069,83.4,,0.0
raw_rawnet2,raw,rawnet2,9.525,27.857,0.0053,0.0053,112.6,,3.0
raw_rawnet2,raw,rawnet2,9.525,27.857,0.0053,0.0053,0.0,,8.0
